,subject,block,trial,task,algo,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,mean_block_regret,mean_block_correct
18,0,18,0,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,1,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,2,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,3,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,4,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,5,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,6,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,8,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
18,0,18,9,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,0,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,3,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,4,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,5,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,7,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
19,0,19,9,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,0,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,1,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,2,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
